Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1154,30,RM,5890,Pave,Reg,Lvl,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,8,1930,2007,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,538,0,278,816,Ex,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,TA,5,Typ,0,1,432,Y,0,0,96,0,0,0,0,6,2008,WD,Normal,120500
1431,60,RL,21930,Pave,IR3,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,5,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,732,732,Ex,Y,SBrkr,734,1104,0,1838,0,0,2,1,4,1,TA,7,Typ,1,2,372,Y,100,40,0,0,0,0,0,7,2006,WD,Normal,192140
883,60,RL,9636,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,0,0,808,808,Gd,Y,SBrkr,808,785,0,1593,0,0,2,1,3,1,TA,7,Typ,1,2,389,Y,342,40,0,0,0,0,0,12,2009,WD,Normal,178000
896,60,RL,7056,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,1963,1963,Hip,HdBoard,HdBoard,BrkFace,415.0,TA,TA,CBlock,400,0,380,780,TA,Y,SBrkr,983,813,0,1796,1,0,1,1,4,1,TA,8,Typ,1,2,483,Y,0,50,0,0,0,0,0,10,2008,WD,Normal,140000
1407,85,RL,8445,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,7,1972,2007,Gable,HdBoard,Wd Shng,None,0.0,TA,TA,CBlock,656,0,112,768,TA,Y,SBrkr,768,0,0,768,1,0,1,0,2,1,TA,5,Typ,0,2,396,Y,58,0,0,0,0,0,0,3,2009,WD,Normal,133000
934,20,RL,8487,Pave,Reg,Lvl,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,210.0,Gd,TA,PConc,20,0,1480,1500,Ex,Y,SBrkr,1500,0,0,1500,0,0,2,0,3,1,Gd,6,Typ,0,2,570,Y,192,36,0,0,0,0,0,8,2009,WD,Normal,190000
78,50,RM,8635,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,336,41,295,672,TA,Y,SBrkr,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,1,240,Y,0,0,0,0,0,0,0,1,2008,WD,Normal,127000
802,30,RM,4800,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,7,1916,1990,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,197,0,999,1196,Ex,Y,FuseA,1196,0,0,1196,1,0,1,0,2,1,TA,5,Typ,0,2,440,Y,0,0,0,0,0,0,0,7,2007,WD,Normal,109900
395,50,RL,10134,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,0,0,735,735,Gd,Y,FuseA,735,299,0,1034,0,0,1,0,2,1,TA,5,Typ,0,1,240,Y,0,39,0,0,0,0,0,7,2007,WD,Normal,109000
1335,160,RM,2368,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,6,1970,1970,Gable,HdBoard,HdBoard,None,312.0,TA,TA,CBlock,765,0,0,765,TA,Y,SBrkr,765,600,0,1365,0,0,1,1,3,1,TA,7,Min1,0,2,440,Y,0,36,0,0,0,0,0,5,2009,WD,Normal,125000
999,30,RM,9786,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,4,1922,1950,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,0,0,1007,1007,Fa,N,SBrkr,1077,0,0,1077,0,0,1,0,3,1,TA,6,Typ,1,1,210,P,0,100,48,0,0,0,0,5,2006,WD,Normal,91000
374,20,RL,10634,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,MetalSd,MetalSd,None,0.0,TA,TA,PConc,428,180,0,608,TA,Y,SBrkr,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,1,270,Y,66,0,0,0,0,0,0,11,2009,WD,Normal,123000
